fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin
"2018-01-28,3195,""MADRID, RETIRO"",MADRID,667,""8,4"",""0,0"",""3,5"",02:10,""13,4"",14:15,04,""4,7"",""15,0"",07:20,""958,0"",23,""952,3"",05"
"2018-01-29,3195,""MADRID, RETIRO"",MADRID,667,""9,2"",""0,0"",""5,2"",08:00,""13,1"",15:10,02,""1,9"",""6,7"",02:00,""957,8"",00,""952,3"",Varias"
"2018-01-30,3195,""MADRID, RETIRO"",MADRID,667,""8,2"",""0,0"",""4,0"",05:30,""12,5"",16:30,03,""1,4"",""5,6"",01:50,""953,4"",00,""947,5"",17"
"2018-01-31,3195,""MADRID, RETIRO"",MADRID,667,""7,6"",""0,0"",""2,5"",08:20,""12,6"",13:50,03,""1,1"",""4,2"",04:30,""948,9"",00,""940,1"",24"
"2018-02-01,3195,""MADRID, RETIRO"",MADRID,667,""6,6"",""0,1"",""2,3"",07:40,""10,8"",13:40,34,""2,8"",""13,3"",17:30,""940,1"",00,""929,5"",17"
"2018-02-02,3195,""MADRID, RETIRO"",MADRID,667,""4,4"",""0,0"",""1,2"",23:59,""7,7"",13:20,99,""3,6"",""13,3"",Varias,""940,5"",23,""931,0"",05"
"2018-02-03,3195,""MADRID, RETIRO"",MADRID,667,""5,2"",""2,3"",""0,2"",02:30,""10,3"",14:30,28,""3,1"",""11,1"",16:30,""942,0"",10,""935,1"",24"
"2018-02-04,3195,""MADRID, RETIRO"",MADRID,667,""3,6"",""17,3"",""1,5"",13:00,""5,8"",00:00,04,""3,6"",""10,8"",20:00,""935,1"",00,""929,9"",24"
"2018-02-05,3195,""MADRID, RETIRO"",MADRID,667,""1,8"",""14,1"",""0,8"",11:40,""2,8"",06:00,06,""3,9"",""9,4"",06:10,""930,9"",24,""927,5"",14"
"2018-02-06,3195,""MADRID, RETIRO"",MADRID,667,""4,1"",""0,0"",""1,2"",23:59,""7,0"",13:30,01,""3,1"",""12,5"",19:10,""934,8"",24,""930,0"",04"
"2018-02-07,3195,""MADRID, RETIRO"",MADRID,667,""3,0"",""0,0"",""-1,6"",06:30,""7,5"",Varias,03,""2,8"",""9,2"",18:30,""940,5"",24,""934,8"",00"
"2018-02-08,3195,""MADRID, RETIRO"",MADRID,667,""3,0"",""0,0"",""-1,0"",Varias,""7,0"",13:30,05,""2,8"",""8,3"",17:40,""942,1"",24,""939,9"",16"
"2018-02-09,3195,""MADRID, RETIRO"",MADRID,667,""3,3"",""0,0"",""-1,9"",07:00,""8,5"",16:30,01,""1,1"",""10,0"",23:59,""944,2"",24,""941,3"",Varias"
"2018-02-10,3195,""MADRID, RETIRO"",MADRID,667,""5,7"",""0,0"",""2,3"",08:00,""9,1"",13:10,02,""2,2"",""10,8"",03:00,""944,8"",Varias,""942,2"",16"
"2018-02-11,3195,""MADRID, RETIRO"",MADRID,667,""7,5"",""0,1"",""0,7"",07:50,""14,3"",13:20,28,""3,1"",""11,7"",14:20,""944,7"",11,""940,6"",23"
"2018-02-12,3195,""MADRID, RETIRO"",MADRID,667,""6,8"",""0,0"",""2,5"",23:30,""11,1"",00:00,34,""1,7"",""9,7"",17:30,""943,4"",Varias,""940,0"",Varias"
"2018-02-13,3195,""MADRID, RETIRO"",MADRID,667,""4,7"",""0,0"",""-0,8"",07:10,""10,2"",13:15,26,""3,6"",""13,6"",18:00,""943,4"",00,""940,0"",15"
"2018-02-14,3195,""MADRID, RETIRO"",MADRID,667,""8,2"",""0,0"",""5,8"",Varias,""10,5"",15:30,27,""3,1"",""11,4"",20:40,""944,7"",24,""941,0"",00"
"2018-02-15,3195,""MADRID, RETIRO"",MADRID,667,""8,4"",""0,0"",""6,0"",04:10,""10,9"",16:10,25,""1,4"",""7,2"",00:00,""948,5"",12,""944,7"",00"
"2018-02-16,3195,""MADRID, RETIRO"",MADRID,667,""10,7"",""0,0"",""6,8"",08:10,""14,6"",16:10,24,""1,7"",""5,0"",17:00,""948,0"",00,""943,4"",Varias"
"2018-02-17,3195,""MADRID, RETIRO"",MADRID,667,""10,7"",""0,0"",""6,7"",Varias,""14,7"",13:30,05,""1,4"",""10,6"",21:40,""946,8"",23,""943,8"",14"
"2018-02-18,3195,""MADRID, RETIRO"",MADRID,667,""8,0"",""0,0"",""2,6"",06:30,""13,4"",16:20,99,""2,8"",""8,3"",Varias,""946,4"",00,""942,5"",17"
"2018-02-19,3195,""MADRID, RETIRO"",MADRID,667,""10,8"",""0,0"",""6,5"",07:30,""15,0"",13:30,03,""2,2"",""10,0"",20:50,""943,1"",00,""940,3"",14"
"2018-02-20,3195,""MADRID, RETIRO"",MADRID,667,""10,9"",""0,0"",""7,3"",05:10,""14,5"",13:30,03,""3,6"",""12,8"",17:50,""941,3"",10,""937,6"",24"
"2018-02-21,3195,""MADRID, RETIRO"",MADRID,667,""7,6"",""0,0"",""3,2"",23:59,""12,0"",13:50,02,""4,2"",""13,9"",09:20,""937,6"",00,""931,6"",16"
"2018-02-22,3195,""MADRID, RETIRO"",MADRID,667,""5,4"",""0,0"",""-0,5"",06:30,""11,3"",13:30,05,""2,8"",""10,3"",21:20,""933,8"",Varias,""929,5"",17"
